158023,L. Messi,Lionel Messi,34,https://cdn.sofifa.com/players/158/023/22_60.png,Argentina
188545,R. Lewandowski,Robert Lewandowski,32,https://cdn.sofifa.com/players/188/545/22_60.png,Poland
20801,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,36,https://cdn.sofifa.com/players/020/801/22_60.png,Portugal
231747,K. Mbappe,Kylian Mbappe,22,https://cdn.sofifa.com/players/231/747/22_60.png,France
200389,J. Oblak,Jan Oblak,28,https://cdn.sofifa.com/players/200/389/22_60.png,Slovenia
192985,K. De Bruyne,Kevin De Bruyne,30,https://cdn.sofifa.com/players/192/985/22_60.png,Belgium
190871,Neymar Jr,Neymar da Silva Santos Jr.,29,https://cdn.sofifa.com/players/190/871/22_60.png,Brazil
215914,N. Kante,N'Golo Kante,30,https://cdn.sofifa.com/players/215/914/22_60.png,France
202126,H. Kane,Harry Kane,27,https://cdn.sofifa.com/players/202/126/22_60.png,England
192448,M. ter Stegen,Marc-Andre ter Stegen,29,https://cdn.sofifa.com/players/192/448/22_60.png,Germany
167495,M. Neuer,Manuel Neuer,35,https://cdn.sofifa.com/players/167/495/22_60.png,Germany
200104,H. Son,Heung Min Son,28,https://cdn.sofifa.com/players/200/104/22_60.png,Korea Republic
200145,Casemiro,Carlos Henrique Venancio Casimiro,29,https://cdn.sofifa.com/players/200/145/22_60.png,Brazil
165153,K. Benzema,Karim Benzema,33,https://cdn.sofifa.com/players/165/153/22_60.png,France
192119,T. Courtois,Thibaut Courtois,29,https://cdn.sofifa.com/players/192/119/22_60.png,Belgium
208722,S. Mane,Sadio Mane,29,https://cdn.sofifa.com/players/208/722/22_60.png,Senegal
203376,V. van Dijk,Virgil van Dijk,29,https://cdn.sofifa.com/players/203/376/22_60.png,Netherlands
230621,G. Donnarumma,Gianluigi Donnarumma,22,https://cdn.sofifa.com/players/230/621/22_60.png,Italy
209331,M. Salah,Mohamed Salah,29,https://cdn.sofifa.com/players/209/331/22_60.png,Egypt
210257,Ederson,Ederson Santana de Moraes,27,https://cdn.sofifa.com/players/210/257/22_60.png,Brazil
212622,J. Kimmich,Joshua Kimmich,26,https://cdn.sofifa.com/players/212/622/22_60.png,Germany
212831,Alisson,Alisson Ramses Becker,28,https://cdn.sofifa.com/players/212/831/22_60.png,Brazil
192505,R. Lukaku,Romelu Lukaku,28,https://cdn.sofifa.com/players/192/505/22_60.png,Belgium
155862,Sergio Ramos,Sergio Ramos Garcia,35,https://cdn.sofifa.com/players/155/862/22_60.png,Spain
176580,L. Suarez,Luis Suarez,34,https://cdn.sofifa.com/players/176/580/22_60.png,Uruguay
182521,T. Kroos,Toni Kroos,31,https://cdn.sofifa.com/players/182/521/22_60.png,Germany
239085,E. Haaland,Erling Haaland,20,https://cdn.sofifa.com/players/239/085/22_60.png,Norway
193041,K. Navas,Keylor Navas,34,https://cdn.sofifa.com/players/193/041/22_60.png,Costa Rica
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,26,https://cdn.sofifa.com/players/212/198/22_60.png,Portugal
202652,R. Sterling,Raheem Sterling,26,https://cdn.sofifa.com/players/202/652/22_60.png,England
199556,M. Verratti,Marco Verratti,28,https://cdn.sofifa.com/players/199/556/22_60.png,Italy
177003,L. Modrić,Luka Modrić,35,https://cdn.sofifa.com/players/177/003/22_60.png,Croatia
183898,A. Di Maria,Angel Di Maria,33,https://cdn.sofifa.com/players/183/898/22_60.png,Argentina
186153,W. Szczesny,Wojciech Szczesny,31,https://cdn.sofifa.com/players/186/153/22_60.png,Poland
189596,T. Miller,Thomas Miller,31,https://cdn.sofifa.com/players/189/596/22_60.png,Germany
192387,C. Immobile,Ciro Immobile,31,https://cdn.sofifa.com/players/192/387/22_60.png,Italy
195864,P. Pogba,Paul Pogba,28,https://cdn.sofifa.com/players/195/864/22_60.png,France
209658,L. Goretzka,Leon Goretzka,26,https://cdn.sofifa.com/players/209/658/22_60.png,Germany
207865,Marquinhos,Marcos Aoas Correa,27,https://cdn.sofifa.com/players/207/865/22_60.png,Brazil
211110,P. Dybala,Paulo Dybala,27,https://cdn.sofifa.com/players/211/110/22_60.png,Argentina
216267,A. Robertson,Andrew Robertson,27,https://cdn.sofifa.com/players/216/267/22_60.png,Scotland
228702,F. de Jong,Frenkie de Jong,24,https://cdn.sofifa.com/players/228/702/22_60.png,Netherlands
231281,T. Alexander-Arnold,Trent Alexander-Arnold,22,https://cdn.sofifa.com/players/231/281/22_60.png,England
239818,Ruben Dias,Ruben Santos Gato Alves Dias,24,https://cdn.sofifa.com/players/239/818/22_60.png,Portugal
153079,S. Agiero,Sergio Agiero,33,https://cdn.sofifa.com/players/153/079/22_60.png,Argentina
167948,H. Lloris,Hugo Lloris,34,https://cdn.sofifa.com/players/167/948/22_60.png,France
233049,J. Sancho,Jadon Sancho,21,https://cdn.sofifa.com/players/233/049/22_60.png,England
201024,K. Koulibaly,Kalidou Koulibaly,30,https://cdn.sofifa.com/players/201/024/22_60.png,Senegal
232363,M. Skriniar,Milan Skriniar,26,https://cdn.sofifa.com/players/232/363/22_60.png,Slovakia
201535,R. Varane,Raphael Varane,28,https://cdn.sofifa.com/players/201/535/22_60.png,France
198219,L. Insigne,Lorenzo Insigne,30,https://cdn.sofifa.com/players/198/219/22_60.png,Italy
192984,K. Casteels,Koen Casteels,29,https://cdn.sofifa.com/players/192/984/22_60.png,Belgium
189513,Parejo,Daniel Parejo Munoz,32,https://cdn.sofifa.com/players/189/513/22_60.png,Spain
189511,Sergio Busquets,Sergio Busquets Burgos,32,https://cdn.sofifa.com/players/189/511/22_60.png,Spain
189509,Thiago,Thiago Alcantara,30,https://cdn.sofifa.com/players/189/509/22_60.png,Spain
189332,Jordi Alba,Jordi Alba Ramos,32,https://cdn.sofifa.com/players/189/332/22_60.png,Spain
178603,M. Hummels,Mats Hummels,32,https://cdn.sofifa.com/players/178/603/22_60.png,Germany
138956,G. Chiellini,Giorgio Chiellini,36,https://cdn.sofifa.com/players/138/956/22_60.png,Italy
162835,S. Handanovič,Samir Handanovič,36,https://cdn.sofifa.com/players/162/835/22_60.png,Slovenia
231866,Rodri,Rodrigo Hernandez Cascante,25,https://cdn.sofifa.com/players/231/866/22_60.png,Spain
